SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-518c*	0	-0.94849	2.18796	0
hsa-miR-518d-3p	0	0.782301	2.19304	0
hsa-miR-518d-5p	0	-0.984408	2.18979	0
hsa-miR-518e	0	-0.800849	2.18924	0
hsa-miR-518e*	0	-0.31337	1.79489	0
hsa-miR-518f	0	-0.259416	2.19441	0
hsa-miR-518f*	0	-2.17349	2.18781	0
hsa-miR-519a	0	-1.16406	2.18894	0
hsa-miR-519b-3p	0	-0.0289196	2.18989	0
hsa-miR-519c-3p	0	-0.459832	2.18864	0
hsa-miR-519d	0	0.520937	2.19271	0
hsa-miR-519e	0	0.65472	2.19296	0
hsa-miR-519e*	0	-2.10663	2.18779	0
hsa-miR-520a-3p	0	0.816938	2.19732	0
hsa-miR-520a-5p	0	-0.882013	2.18807	0
hsa-miR-520b	0	1.90067	2.2001	0
hsa-miR-520c-3p	0	-1.42355	2.1879	0
